epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,319.76,2.012,3.20283,1.78145,0.28117,0.36873,0.20538,0.09512,1.97036,2.77354,1.74208,0.000208174,0.000208174,0.000208174
2,604.302,1.90512,2.3577,1.67651,0.39102,0.3163,0.27674,0.13988,1.9752,2.29362,1.77597,0.000402763,0.000402763,0.000402763
3,886.916,1.89671,2.22155,1.66448,0.41733,0.38722,0.34117,0.17328,1.90549,2.17703,1.70861,0.000583601,0.000583601,0.000583601
4,1218.77,1.8667,2.14428,1.64304,0.4825,0.40169,0.39935,0.20879,1.84903,2.02921,1.65065,0.000563125,0.000563125,0.000563125
5,1497.88,1.82972,2.05391,1.61146,0.48726,0.45673,0.4346,0.23189,1.81361,1.98665,1.61586,0.0005425,0.0005425,0.0005425
6,1774.8,1.79859,2.00331,1.58933,0.50553,0.46222,0.45528,0.2487,1.79528,1.90172,1.60078,0.000521875,0.000521875,0.000521875
7,2053.07,1.77196,1.95655,1.568,0.50856,0.47305,0.4678,0.2691,1.76498,1.86428,1.57564,0.00050125,0.00050125,0.00050125
8,2328.59,1.75446,1.91817,1.55758,0.54153,0.48569,0.49708,0.28971,1.74702,1.83799,1.57462,0.000480625,0.000480625,0.000480625
9,2605.76,1.74471,1.88531,1.54513,0.51216,0.51534,0.50033,0.28188,1.74477,1.75255,1.55696,0.00046,0.00046,0.00046
10,2880.94,1.7261,1.85195,1.53228,0.56298,0.5237,0.53425,0.3084,1.71828,1.74585,1.53504,0.000439375,0.000439375,0.000439375
11,3157.81,1.71273,1.83339,1.51794,0.56985,0.53256,0.54957,0.32277,1.69456,1.71553,1.5223,0.00041875,0.00041875,0.00041875
12,3432.6,1.69171,1.81347,1.50796,0.58906,0.55002,0.56195,0.33137,1.68722,1.66642,1.50851,0.000398125,0.000398125,0.000398125
13,3708.35,1.68487,1.782,1.50283,0.58086,0.55068,0.57009,0.33136,1.67696,1.65899,1.50292,0.0003775,0.0003775,0.0003775
14,3985.53,1.6806,1.754,1.49425,0.58141,0.5627,0.58299,0.3458,1.65993,1.63367,1.48636,0.000356875,0.000356875,0.000356875
15,4262.31,1.67247,1.74406,1.48981,0.60071,0.57106,0.58849,0.35449,1.6569,1.62204,1.48861,0.00033625,0.00033625,0.00033625
16,4537.35,1.65615,1.715,1.47831,0.62282,0.55856,0.59356,0.36045,1.64589,1.60248,1.48507,0.000315625,0.000315625,0.000315625
17,4812.25,1.6442,1.70009,1.46889,0.62026,0.57427,0.60415,0.36823,1.6406,1.57802,1.47776,0.000295,0.000295,0.000295
18,5088.45,1.63936,1.67786,1.46316,0.65535,0.56327,0.61123,0.37408,1.62444,1.55565,1.46384,0.000274375,0.000274375,0.000274375
19,5369.41,1.62961,1.66429,1.45709,0.63671,0.58565,0.61864,0.37737,1.62276,1.53801,1.45495,0.00025375,0.00025375,0.00025375
20,5662.29,1.6161,1.63915,1.44518,0.62731,0.59051,0.61972,0.37575,1.62256,1.53352,1.45435,0.000233125,0.000233125,0.000233125
21,288.703,1.62635,1.58603,1.48519,0.65727,0.5909,0.62991,0.39066,1.61663,1.50637,1.4522,0.0002125,0.0002125,0.0002125
22,567.519,1.61539,1.56012,1.48436,0.65403,0.5936,0.63329,0.39274,1.60948,1.48922,1.44983,0.000191875,0.000191875,0.000191875
23,847.812,1.59954,1.53348,1.47337,0.64663,0.60745,0.64237,0.39925,1.60301,1.47477,1.43945,0.00017125,0.00017125,0.00017125
24,1124.43,1.58726,1.51004,1.45879,0.6305,0.61789,0.64595,0.40044,1.60245,1.46129,1.43726,0.000150625,0.000150625,0.000150625
25,1401.38,1.57772,1.4968,1.4558,0.65248,0.60791,0.65019,0.40444,1.60014,1.45619,1.43698,0.00013,0.00013,0.00013
26,1677.76,1.56856,1.47243,1.44859,0.65129,0.60908,0.65414,0.41212,1.59463,1.44211,1.43265,0.000109375,0.000109375,0.000109375
27,1953.85,1.55825,1.45482,1.43652,0.65743,0.61531,0.65344,0.4107,1.59572,1.43682,1.43376,8.875e-05,8.875e-05,8.875e-05
28,2232.94,1.54624,1.43394,1.43433,0.65606,0.6156,0.65287,0.41141,1.59296,1.42908,1.43249,6.8125e-05,6.8125e-05,6.8125e-05
29,2510.55,1.53338,1.41285,1.42533,0.65931,0.61371,0.65423,0.4139,1.59195,1.42545,1.43053,4.75e-05,4.75e-05,4.75e-05
30,2786.63,1.52561,1.41125,1.41926,0.65871,0.60643,0.65428,0.41382,1.58993,1.42529,1.42866,2.6875e-05,2.6875e-05,2.6875e-05
