epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,477.246,1.9127,3.03598,1.85018,0.52996,0.30703,0.27257,0.14076,1.84699,2.11761,1.84562,0.00996951,0.00332317,0.00996951,0.00332317,0.00996951,0.00332317,0.00996951,0.00332317
2,822.971,1.77455,2.02224,1.73654,0.23739,0.2643,0.166,0.08137,2.01213,2.71163,2.06371,0.0198377,0.00661257,0.0198377,0.00661257,0.0198377,0.00661257,0.0198377,0.00661257
3,1169.13,1.89058,2.22886,1.86246,0.18171,0.16429,0.10283,0.04299,2.21231,4.19645,2.32762,0.0295739,0.00985797,0.0295739,0.00985797,0.0295739,0.00985797,0.0295739,0.00985797
4,1514.38,1.88837,2.26444,1.89005,0.51775,0.2277,0.19611,0.09397,1.97961,2.48411,2.05613,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,1857.61,1.80975,2.08732,1.83762,0.53219,0.26329,0.23774,0.1217,1.92948,2.46278,2.00588,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,2201.93,1.75807,1.974,1.79581,0.57163,0.32979,0.30049,0.15741,1.86118,2.154,1.94868,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,2546.32,1.72181,1.90692,1.76991,0.62714,0.34257,0.33944,0.17855,1.78222,1.97742,1.86307,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,2889.33,1.69232,1.83299,1.74225,0.64583,0.38426,0.39257,0.21839,1.76532,1.84464,1.85214,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,3231.49,1.66554,1.773,1.71214,0.64914,0.36681,0.38064,0.20747,1.74593,1.87816,1.8378,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,3572.73,1.64806,1.7242,1.69164,0.67827,0.44235,0.45939,0.26926,1.67884,1.65889,1.78489,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,3915.56,1.62801,1.69331,1.68101,0.66207,0.42383,0.46188,0.25547,1.67688,1.64945,1.76937,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,4257.87,1.61368,1.65623,1.65952,0.6999,0.41584,0.45595,0.25252,1.65045,1.6169,1.73879,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,4600.44,1.5982,1.63621,1.65443,0.67567,0.42794,0.46553,0.26745,1.65519,1.63653,1.74873,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,4942.31,1.59217,1.60194,1.64276,0.71635,0.45108,0.49682,0.29258,1.62421,1.56263,1.72632,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,5284.44,1.57897,1.5857,1.63395,0.71249,0.46243,0.5051,0.29946,1.6295,1.51205,1.71645,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,5626.63,1.56601,1.55229,1.62264,0.73169,0.45179,0.52475,0.30489,1.61773,1.48677,1.71317,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,5968.44,1.54689,1.52041,1.60585,0.72047,0.46923,0.5201,0.31016,1.60722,1.46381,1.69958,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,6310.11,1.53804,1.50635,1.5967,0.50462,0.51537,0.5161,0.30452,1.60938,1.4481,1.68835,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,6650.68,1.53062,1.48298,1.59303,0.70512,0.48773,0.53804,0.31521,1.59713,1.43299,1.69316,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,6992.88,1.52427,1.47959,1.58407,0.70897,0.48783,0.53656,0.32316,1.5928,1.42095,1.69229,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,7335.09,1.51599,1.45527,1.57585,0.73987,0.49102,0.54833,0.32774,1.58525,1.3903,1.68399,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,7676.97,1.5172,1.44357,1.58161,0.74811,0.49909,0.56358,0.33754,1.58156,1.36533,1.67546,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,8019.1,1.49736,1.41734,1.56084,0.53149,0.57283,0.57011,0.3405,1.57996,1.34266,1.67616,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,8361.77,1.49073,1.40424,1.55668,0.5324,0.57534,0.57701,0.34573,1.57153,1.34019,1.67353,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,8704.03,1.48473,1.37842,1.54634,0.7319,0.5134,0.58906,0.34696,1.57903,1.31957,1.67284,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,9046.42,1.47568,1.36603,1.54312,0.57492,0.58695,0.60072,0.35634,1.57363,1.30888,1.67013,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,9388.39,1.46873,1.35899,1.53508,0.75579,0.50255,0.57608,0.35075,1.56575,1.30765,1.66259,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
